ï»¿ts,code,carno,msgtype,lat,lon,type,desc,gps,event_lon,event_lat,equipmenttype,message,messageDate,
"1656355684","f77db500","f77db500","v2x","31.274452","121.16223","21001","4,12","2","0","0","1","消息验签失败","10-26 10:25",
"1656389395","f77db500","f77db500","v2x","31.274452","121.16223","21001","2,17","2","0","0","1","消息已过期","10-26 10:26",
"1656403203","715962cf","715962cf","v2x","31.27443","121.16233","21001","2,17","2","0","0","1","消息已过期","10-26 10:26",
"1656445401","f77db500","f77db500","v2x","31.274452","121.16223","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:27",
"1656470774","7c5d0ffd","7c5d0ffd","v2x","31.274452","121.16223","21001","4,12","2","0","0","1","消息验签失败","10-26 10:27",
"1656471977","7c5d0ffd","7c5d0ffd","v2x","31.274452","121.16223","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:27",
"1656586518","7c5d0ffd","7c5d0ffd","v2x","31.274452","121.16223","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:29",
"1656659414","7c5d0ffd","7c5d0ffd","v2x","31.274452","121.16223","21001","4,12","2","0","0","1","消息验签失败","10-26 10:31",
"1656790671","f77db500","f77db500","v2x","31.2743","121.162415","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:33",
"1656803784","106590","106590","v2x","31.282324","121.17625","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:33",
"1656852089","f77db500","f77db500","v2x","31.274307","121.162415","21001","2,17","2","0","0","1","消息已过期","10-26 10:34",
"1656852383","70773802","70773802","v2x","31.274452","121.16223","21001","2,17","2","0","0","1","消息已过期","10-26 10:34",
"1656888719","70773802","70773802","v2x","31.274452","121.16223","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:34",
"1656909813","2db4d990","2db4d990","v2x","31.27451","121.186066","21001","3,33","2","0","0","1","证书链错误","10-26 10:35",
"1657003202","f77db500","f77db500","v2x","31.274305","121.16241","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:36",
"1657006019","70773802","70773802","v2x","31.274452","121.16223","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:36",
"1657058920","215cac81","215cac81","v2x","31.26756","121.17921","21001","2,9","1","0","0","1","安全层报文解码失败","10-26 10:37",
"1657183910","f77db500","f77db500","v2x","31.274836","121.161385","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:39",
"1657184014","70773802","70773802","v2x","31.274452","121.16223","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:39",
"1657202408","f77db500","f77db500","v2x","31.274836","121.161385","21001","2,23","2","0","0","1","AID与网络层不匹配","10-26 10:40",
"1657276403","6590","6590","v2x","31.274841","121.161194","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:41",
"1657276675","215cac81","215cac81","v2x","31.271715","121.17643","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:41",
"1657277514","2db4d990","2db4d990","v2x","31.259937","121.18864","21001","2,9","2","0","0","1","安全层报文解码失败","10-26 10:41",
"1657348427","215cac81","215cac81","v2x","31.27324","121.17382","21001","4,12","1","0","0","1","消息验签失败","10-26 10:42",
"1657357914","f77db500","f77db500","v2x","31.274824","121.16147","21001","3,29","2","0","0","1","必选数据未填充","10-26 10:42",
"1657360914","f77db500","f77db500","v2x","31.27474","121.162186","21001","2,23","2","0","0","1","AID与网络层不匹配","10-26 10:42",
"1657455766","7f8dde73","7f8dde73","v2x","31.273643","121.17022","21001","3,29","1","0","0","1","必选数据未填充","10-26 10:44",
"1657474817","f77db500","f77db500","v2x","31.274824","121.16147","21001","4,12","2","0","0","1","消息验签失败","10-26 10:44",
